iFmFHtGY2Luh1zwTlfNkht9RkvsVePqs16RHZby8eiQ=,0
SRgaSPKMBDlfs0bS4DVUfiF2O/oiBytCLjOd26FqDAg=,1
7gF4vsga02pQm7O/lVUsdaXmtaM1yT6scKjrdE5TXkA=,1
ztmHOk9bCqGwkt/HynXeKz8Ftz2BW0l+K3QOkTpLgVw=,0
JKReI+iIPQuvl11hYnbQ4HozodWZDJ/0WCLPruKCRYY=,1
pM5Nk5lAmX6xUUS5w2yn622o5fWFl3hQflqkcM2Y8sU=,0
/S5fFygCFEWcFywKD0XsVaYW1PXj/UFd9CX2wT47jtQ=,1
JkMvtbZ74PE3Y+9QHQdvH8wB2liV1xjSd/DiNjyKfO8=,0
a0G/Uq/jtxYc6YkF2Ny0IhuWmEzGI4oc1huNlN5I3pw=,0
7qoLiznm7scXIbO9ytHb1oyS8M+h0hJQqNi1rilrd7A=,0
RtVZ9r5i6jQzBFgGjnKb+2zDpgEIpJ/oIwGF2Ga0tYQ=,0
ubd8Ikl3+r30oLNxdviJ6oQiGwsmBDz/0JAbev8+JwU=,1
3BB0iHO7ty5n4XVIhWYtdhY5ujks0XFiGiZu+a9u6LY=,0
OQ1FHkwB+AO1IjBYsiHoGMATSD1MKJOhoOu4dF5xcoM=,1
vCl+bCeR183JD1PHproIjE2MgOG8HPvpGjQi44qztH0=,1
KoU4vLQwOovb8MEGaIFksZxzJcUWX5/lnRg1pLCoj9s=,1
OH90QIVnhTjdamUjfXTaushvxXRk5bZbeDLVogabwVg=,1
ACqXMokGHMNFYC4tp4Xljcj+H+MPNYvEEVLDEMroZbs=,0
3y2DMxWStIfd1zCndkUPvXh3RdNKyNIIRJz+vbGz7jU=,0
j235PFjspzLjwXeKo5zUXMVPoTg2eITJz0KETyEw4RY=,1
ubKZu1DuNhcs/QBbAgM8R3qeqEgkAuaYw87y8MUfQd4=,1
ExT9+fx5MmeGDn7CE5FBBBllAS3sqKPb44pnJdRmTm8=,0
m6zzLukYsNQWJAbCwlxVnqrx34qcE2rAcC/w9uWY8T4=,1
ZWIZDckv4n1nzXfhSIBvG/o3Ky5Wlj56fXJcGgdadRc=,0
yksmPfEbk4BWT2j/ZjK7M+Dm6u65ECIXkQaCqcXIkMM=,0
Zcq9YiqIgkdNOL7eSk1qiQBRqxq9LIz6okVI/+AX3/c=,1
yjYTyZ219IHRTXMGA8JGXGUiB9X/Ht8vwO+DeE/qKU0=,0
RrhfkZeUP8Z04b2d2dSuLSFoqenGVE3oRXolfHOTgPU=,1
CY44teQ8SoeLhKcXroecrluWzWf9SMr1FohJmDoKoFM=,0
v+1lvBaLF5IZpoGuBj/sZGifJUDJJozqbn3Y46FJ5W8=,0
dz1DvByj65ftadKlI0AbMRcxluDz3K2YrlmhpruvmTU=,0
iwjoxXl5C64jgs85gC7Cuh3are8uuTGKjyTo13Y3Uik=,1
heGog6Y9334zctNnKjz5UbQB7GNbhSaGCwUD8tPxixQ=,1
